1.790854359823989910e+02,1.253717655508800766e+00
2.092370106337120035e+02,1.212529519276284828e+00
2.707745290792341848e+02,1.139622310937229877e+00
3.017900850242479578e+02,1.107163715804623694e+00
3.651652050816765041e+02,1.053215079289340661e+00
3.971835992697143070e+02,1.031058605145033891e+00
4.286057411271586375e+02,1.009669846466819676e+00
4.598395489251623758e+02,9.902743710054492388e-01
5.217323639133522875e+02,9.574675184433899533e-01
5.519708078879747291e+02,9.425124884481423937e-01
6.410325520290588202e+02,9.071371533417305066e-01
6.698131607607214164e+02,8.969013745920553227e-01
7.814117336441796624e+02,8.658454891775883011e-01
8.082737073478602952e+02,8.593562974944780608e-01
9.625915429631503457e+02,8.329930467681524453e-01
9.873207487121024997e+02,8.307894503553762133e-01
1.152697255714644598e+03,8.184175560104007818e-01
1.175461345800589697e+03,8.173475466753103991e-01
1.265101717133612738e+03,8.173474999586995970e-01
1.374381051671490241e+03,8.173474962096871632e-01
1.439211882397844420e+03,8.173474962241361608e-01
1.439930066174491458e+03,8.748983353573026589e-01
1.439847271872590227e+03,9.569051892058926256e-01
1.439284898511719121e+03,1.039234854917086448e+00
1.438386112736020095e+03,1.121980499433512524e+00
1.437148101833334977e+03,1.205146953024633927e+00
1.435610493577829402e+03,1.288777555700928668e+00
1.433787234957771716e+03,1.372901674908484360e+00
1.431673399871679521e+03,1.457534224572028858e+00
1.429268884775723791e+03,1.542695670711186295e+00
1.426588789946836641e+03,1.628425462998615014e+00
1.423631700939625489e+03,1.714748751612021449e+00
1.420395944762811496e+03,1.801692014409091103e+00
1.416881104697075216e+03,1.889285147229749162e+00
1.413053056922846508e+03,1.977513114736381805e+00
1.408912924115192482e+03,2.066405951765254212e+00
1.404459372046344697e+03,2.155992745516554177e+00
1.399694044328344035e+03,2.246309730418184714e+00
1.394575252191968502e+03,2.337323951001697875e+00
1.389101415048599392e+03,2.429063718555067641e+00
1.383271253258598108e+03,2.521560564185804765e+00
1.377087346198269188e+03,2.614856364411531242e+00
1.370519509612400043e+03,2.708932743134070620e+00
1.363557472676256566e+03,2.803806734015386493e+00
1.356203390233604523e+03,2.899522680047261325e+00
1.348459805974124947e+03,2.996130874529801424e+00
